Point_Count,System_Time_Unix
19968,1765435949.806950000
19968,1765435949.823650000
19968,1765435949.830300000
20064,1765435949.988110000
19968,1765435950.538910000
19872,1765435950.943230000
20064,1765435950.950390000
20064,1765435950.956380000
19968,1765435950.961440000
19968,1765435951.245240000
19968,1765435951.415090000
20064,1765435951.584150000
19968,1765435951.834160000
19968,1765435951.959100000
19968,1765435952.092480000
19872,1765435952.311980000
20064,1765435952.447510000
20064,1765435952.584300000
19968,1765435952.723700000
19968,1765435953.137840000
20064,1765435953.143010000
19968,1765435953.254990000
20064,1765435953.368690000
19968,1765435953.584190000
19968,1765435953.718620000
20064,1765435953.835380000
20064,1765435954.073090000
19872,1765435954.295000000
20064,1765435954.422350000
20064,1765435954.544610000
19968,1765435955.251180000
20064,1765435955.257140000
19968,1765435955.266530000
19968,1765435955.283740000
19968,1765435955.576310000
19968,1765435955.737250000
19968,1765435955.968300000
19968,1765435956.951850000
19968,1765435956.958000000
19968,1765435956.962080000
19968,1765435956.980910000
19968,1765435956.986080000
19680,1765435956.990680000
20160,1765435957.338250000
19968,1765435957.459540000
20064,1765435957.594830000
20064,1765435957.807020000
20064,1765435957.946440000
19968,1765435958.162230000
19968,1765435958.590270000
19968,1765435958.833010000
19968,1765435958.838600000
20064,1765435959.042960000
19968,1765435959.211800000
